n,h,op
828,50,82800
8729,50,872900
16579,50,1657900
24319,50,2431900
32358,50,3235800
40064,50,4006400
47913,50,4791300
55589,50,5558900
63689,50,6368900
71190,50,7119000
79189,50,7918900
885,100,177000
8729,100,1745800
16641,100,3328200
24473,100,4894600
32205,100,6441000
40200,100,8040000
47840,100,9568000
55847,100,11169400
63653,100,12730600
71496,100,14299200
79496,100,15899200
916,150,274800
8795,150,2638500
16636,150,4990800
24427,150,7328100
32313,150,9693900
40223,150,12066900
48122,150,14436600
55878,150,16763400
63770,150,19131000
71815,150,21544500
79400,150,23820000
993,200,397200
8849,200,3539600
16726,200,6690400
24605,200,9842000
32530,200,13012000
40313,200,16125200
48114,200,19245600
55994,200,22397600
63886,200,25554400
71677,200,28670800
79458,200,31783200
1032,250,516000
8865,250,4432500
16789,250,8394500
24542,250,12271000
32400,250,16200000
40410,250,20205000
47977,250,23988500
55682,250,27841000
63973,250,31986500
71703,250,35851500
79812,250,39906000
1091,300,654600
8989,300,5393400
16922,300,10153200
24571,300,14742600
32491,300,19494600
40318,300,24190800
48152,300,28891200
56003,300,33601800
64126,300,38475600
71748,300,43048800
79729,300,47837400
1133,350,793100
8935,350,6254500
16790,350,11753000
24674,350,17271800
32570,350,22799000
40536,350,28375200
48326,350,33828200
56219,350,39353300
63995,350,44796500
71874,350,50311800
79616,350,55731200
1178,400,942400
9076,400,7260800
16743,400,13394400
24801,400,19840800
32660,400,26128000
40321,400,32256800
48204,400,38563200
56203,400,44962400
64070,400,51256000
71924,400,57539200
79704,400,63763200
1238,450,1114200
9114,450,8202600
16962,450,15265800
24669,450,22202100
32614,450,29352600
40582,450,36523800
48479,450,43631100
56135,450,50521500
64126,450,57713400
71850,450,64665000
79715,450,71743500
1277,500,1277000
9177,500,9177000
17049,500,17049000
24878,500,24878000
32781,500,32781000
40604,500,40604000
48380,500,48380000
56388,500,56388000
64342,500,64342000
72029,500,72029000
79674,500,79674000
1332,550,1465200
9165,550,10081500
17024,550,18726400
24922,550,27414200
32736,550,36009600
40570,550,44627000
48493,550,53342300
56333,550,61966300
64234,550,70657400
71979,550,79176900
80141,550,88155100
1390,600,1668000
9281,600,11137200
17079,600,20494800
24946,600,29935200
32840,600,39408000
40693,600,48831600
48409,600,58090800
56474,600,67768800
64144,600,76972800
71898,600,86277600
79641,600,95569200
1419,650,1844700
9327,650,12125100
17230,650,22399000
24882,650,32346600
32842,650,42694600
40740,650,52962000
48564,650,63133200
56604,650,73585200
64376,650,83688800
72179,650,93832700
79912,650,103885600
1509,700,2112600
9327,700,13057800
17132,700,23984800
24949,700,34928600
32927,700,46097800
40824,700,57153600
48512,700,67916800
56408,700,78971200
64248,700,89947200
72046,700,100864400
79895,700,111853000
1546,750,2319000
9405,750,14107500
17299,750,25948500
24923,750,37384500
32991,750,49486500
40939,750,61408500
48559,750,72838500
56639,750,84958500
64460,750,96690000
72282,750,108423000
79916,750,119874000
1574,800,2518400
9486,800,15177600
17329,800,27726400
25108,800,40172800
33051,800,52881600
40774,800,65238400
48477,800,77563200
56487,800,90379200
64597,800,103355200
72481,800,115969600
80159,800,128254400
1639,850,2786300
9492,850,16136400
17385,850,29554500
25148,850,42751600
32986,850,56076200
40654,850,69111800
48805,850,82968500
56622,850,96257400
64451,850,109566700
72348,850,122991600
80098,850,136166600
1686,900,3034800
9531,900,17155800
17456,900,31420800
25233,900,45419400
33143,900,59657400
40813,900,73463400
48677,900,87618600
56758,900,102164400
64359,900,115846200
72412,900,130341600
80308,900,144554400
1734,950,3294600
9619,950,18276100
17400,950,33060000
25413,950,48284700
33207,950,63093300
40951,950,77806900
48924,950,92955600
56731,950,107788900
64429,950,122415100
72616,950,137970400
80321,950,152609900
1805,1000,3610000
9658,1000,19316000
17473,1000,34946000
25382,1000,50764000
33234,1000,66468000
41022,1000,82044000
48898,1000,97796000
56801,1000,113602000
64645,1000,129290000
72253,1000,144506000
80313,1000,160626000
